Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-23 07:23:00+00:00,25216.19921875,25219.849609375,25206.849609375,25208.349609375,0
2026-01-23 07:24:00+00:00,25229.099609375,25229.75,25215.650390625,25216.900390625,0
2026-01-23 07:25:00+00:00,25225.400390625,25229.75,25222.150390625,25229.75,0
2026-01-23 07:26:00+00:00,25219.44921875,25226.349609375,25218.5,25225.05078125,0
2026-01-23 07:27:00+00:00,25212.55078125,25221.55078125,25211.94921875,25218.55078125,0
2026-01-23 07:28:00+00:00,25212.75,25214.44921875,25209.55078125,25211.650390625,0
2026-01-23 07:29:00+00:00,25202.94921875,25214.5,25200.900390625,25213.400390625,0
2026-01-23 07:30:00+00:00,25191.80078125,25204.75,25191.69921875,25203.94921875,0
2026-01-23 07:31:00+00:00,25196.900390625,25199.75,25191.69921875,25191.69921875,0
2026-01-23 07:32:00+00:00,25204.150390625,25213.30078125,25194.75,25196.650390625,0
2026-01-23 07:33:00+00:00,25200.0,25207.150390625,25196.94921875,25204.5,0
2026-01-23 07:34:00+00:00,25194.30078125,25202.30078125,25194.19921875,25198.900390625,0
2026-01-23 07:35:00+00:00,25191.25,25198.5,25189.900390625,25194.05078125,0
2026-01-23 07:36:00+00:00,25191.55078125,25192.599609375,25186.349609375,25191.349609375,0
2026-01-23 07:37:00+00:00,25186.80078125,25194.900390625,25186.75,25191.25,0
2026-01-23 07:38:00+00:00,25182.349609375,25189.0,25181.150390625,25187.25,0
2026-01-23 07:39:00+00:00,25187.25,25190.599609375,25180.55078125,25182.0,0
2026-01-23 07:40:00+00:00,25194.94921875,25195.0,25183.900390625,25187.75,0
2026-01-23 07:41:00+00:00,25193.69921875,25200.349609375,25191.849609375,25195.150390625,0
2026-01-23 07:42:00+00:00,25193.099609375,25194.349609375,25189.0,25193.25,0
2026-01-23 07:43:00+00:00,25184.80078125,25193.849609375,25184.80078125,25193.30078125,0
2026-01-23 07:44:00+00:00,25196.400390625,25199.150390625,25185.400390625,25187.55078125,0
2026-01-23 07:45:00+00:00,25171.099609375,25197.349609375,25169.55078125,25196.650390625,0
2026-01-23 07:46:00+00:00,25163.75,25175.099609375,25162.599609375,25170.69921875,0
2026-01-23 07:47:00+00:00,25157.75,25167.05078125,25153.599609375,25163.94921875,0
2026-01-23 07:48:00+00:00,25154.19921875,25158.150390625,25143.05078125,25157.19921875,0
2026-01-23 07:49:00+00:00,25148.94921875,25158.19921875,25146.849609375,25155.25,0
2026-01-23 07:50:00+00:00,25141.69921875,25149.55078125,25141.69921875,25148.55078125,0
2026-01-23 07:51:00+00:00,25139.30078125,25145.80078125,25137.19921875,25142.400390625,0
2026-01-23 07:52:00+00:00,25137.25,25138.75,25131.150390625,25138.599609375,0
2026-01-23 07:53:00+00:00,25131.5,25144.0,25131.349609375,25138.25,0
